Date,Open,High,Low,Close,Volume
2017-12-29,316.18,316.41,310.0,311.35,3727621.0
2017-12-28,311.75,315.82,309.54,315.36,4294689.0
2017-12-27,316.0,317.68,310.75,311.64,4645441.0
2017-12-26,323.83,323.94,316.58,317.29,4321909.0
2017-12-22,329.51,330.9214,324.82,325.2,4186131.0
2017-12-21,329.59,333.74,327.21,331.66,4344701.0
2017-12-20,332.69,333.1,325.04,328.98,5937684.0
2017-12-19,340.26,341.4925,330.3,331.1,6792009.0
2017-12-18,344.9,346.73,337.58,338.87,5441450.0
2017-12-15,342.04,343.9,335.76,343.45,6832071.0
2017-12-14,341.01,347.44,336.9,337.89,5744750.0
2017-12-13,340.93,344.22,336.5,339.03,6189204.0
2017-12-12,330.45,341.44,330.03,341.03,8648534.0
2017-12-11,314.63,329.01,313.75,328.91,7867288.0
2017-12-08,314.6,316.98,311.26,315.13,3442898.0
2017-12-07,312.0,318.6341,311.05,311.24,4705140.0
2017-12-06,300.1,313.39,300.0,313.26,7160938.0
2017-12-05,302.0,308.0,301.0,303.7,4628462.0
2017-12-04,306.5,308.265,300.61,305.2,5811205.0
2017-12-01,305.44,310.32,305.05,306.53,4256030.0
2017-11-30,308.56,310.7,304.54,308.85,4288221.0
2017-11-29,317.3,318.0,301.23,307.54,8732941.0
2017-11-28,316.36,320.0,313.92,317.55,4916555.0
2017-11-27,313.25,317.34,309.51,316.81,4524921.0
2017-11-24,313.79,316.41,311.0,315.55,3242220.0
2017-11-22,316.77,317.42,311.84,312.6,4890091.0
2017-11-21,310.86,318.23,308.71,317.81,7230570.0
2017-11-20,313.79,315.5,304.75,308.74,8220759.0
2017-11-17,325.67,326.67,313.15,315.05,13682753.0
2017-11-16,313.99,318.14,311.3,312.5,5757709.0
2017-11-15,306.01,312.49,301.5,311.3,5909055.0
2017-11-14,315.0,316.35,306.9,308.7,5641615.0
2017-11-13,300.13,316.8,299.11,315.4,7536669.0
2017-11-10,302.5,308.36,301.85,302.99,4600097.0
2017-11-09,302.5,304.46,296.3,302.99,5419497.0
2017-11-07,301.02,306.5,300.03,306.05,5209573.0
2017-11-06,307.0,307.5,299.01,302.78,6463227.0
2017-11-03,299.5,306.25,295.13,306.09,8835157.0
2017-11-02,300.13,308.69,292.63,299.26,19731322.0
2017-11-01,332.25,332.6089,320.26,321.08,7028856.0
2017-10-31,320.23,331.95,320.18,331.53,5532647.0
2017-10-30,319.18,323.78,317.25,320.08,4236029.0
2017-10-27,319.75,324.59,316.66,320.87,6942493.0
2017-10-26,327.78,330.23,323.2,326.17,4980316.0
2017-10-25,336.7,337.5,323.56,325.84,8547764.0
2017-10-24,338.8,342.8,336.16,337.34,4463807.0
2017-10-23,349.88,349.95,336.25,337.02,5715817.0
2017-10-20,352.69,354.55,344.34,345.1,4888221.0
2017-10-19,355.56,357.1465,348.2,351.81,5032884.0
2017-10-18,355.97,363.0,354.13,359.65,4898808.0
2017-10-17,350.91,356.22,350.07,355.75,3280670.0
2017-10-16,353.76,354.48,347.16,350.6,5353262.0
2017-10-13,356.98,358.49,353.68,355.57,3528413.0
2017-10-12,352.95,359.78,352.64,355.68,4047318.0
2017-10-11,353.89,357.6,351.15,354.6,4476769.0
2017-10-10,346.8,355.63,345.5305,355.59,6914972.0
2017-10-09,349.65,351.75,342.67,342.94,7406324.0
2017-10-06,353.1,360.0992,352.25,356.88,4171789.0
2017-10-05,356.0,357.435,351.35,355.33,4102286.0
2017-10-04,351.25,358.62,349.6,355.01,8120353.0
2017-10-03,335.9,348.55,331.28,348.14,9981885.0
2017-10-02,342.52,343.7,335.51,341.53,4901453.0
2017-09-29,341.86,344.68,338.601,341.1,5062297.0
2017-09-28,339.88,342.75,335.4,339.6,5279310.0
2017-09-27,349.9,351.4890000000001,340.5,340.97,6010631.0
2017-09-26,350.93,351.24,340.9,345.25,7126550.0
2017-09-25,353.15,357.469,342.88,344.99,7542161.0
2017-09-22,366.49,369.8999,350.88,351.09,8105653.0
2017-09-21,374.9,376.83,364.51,366.48,4605428.0
2017-09-20,373.0,378.249,371.07,373.91,4892872.0
2017-09-19,380.0,382.39,373.57,375.1,6256035.0
2017-09-18,380.25,389.61,377.68,385.0,7149295.0
2017-09-15,374.51,380.0,372.7,379.81,5338678.0
2017-09-14,364.33,377.96,362.63,377.64,7141663.0
2017-09-13,363.82,368.07,359.59,366.23,4161382.0
2017-09-12,364.49,368.76,360.4,362.75,5929289.0
2017-09-11,351.35,363.71,350.0,363.69,7610309.0
2017-09-08,348.99,349.78,342.3,343.4,3248803.0
2017-09-07,345.98,352.48,343.45,350.61,4219997.0
2017-09-06,349.5,350.9790000000001,341.56,344.53,4058983.0
2017-09-05,353.8,355.49,345.89,349.59,3813862.0
2017-09-01,356.12,357.59,353.6902,355.4,3028578.0
2017-08-31,353.55,358.44,352.82,355.9,4019065.0
2017-08-30,349.67,353.47,347.0,353.18,3390055.0
2017-08-29,339.48,349.05,338.75,347.36,4032825.0
2017-08-28,347.28,347.35,339.72,345.66,3718108.0
2017-08-25,354.24,355.69,347.3,348.05,3461744.0
2017-08-24,352.52,356.66,349.74,352.93,4540652.0
2017-08-23,338.99,353.49,338.3041,352.77,4914201.0
2017-08-22,341.13,342.24,337.3725,341.35,4288367.0
2017-08-21,345.82,345.82,331.85,337.86,6458812.0
2017-08-18,352.91,354.0,345.8,347.46,5335793.0
2017-08-17,361.21,363.3,351.59,351.92,4969222.0
2017-08-16,363.0,366.5,362.52,362.91,3328576.0
2017-08-15,365.2,365.49,359.37,362.33,3048074.0
2017-08-14,364.63,367.66,362.6,363.8,4461215.0
2017-08-11,356.97,361.26,353.62,357.715,4318835.0
2017-08-10,361.6,366.6504,354.66,355.13,7035192.0
2017-08-09,361.0,370.0,358.95,363.525,6847245.0
2017-08-08,357.53,368.58,357.4,365.22,7363033.0
2017-08-07,357.35,359.48,352.75,355.17,6265570.0
2017-08-04,347.0,357.27,343.3,356.91,9151520.0
